Date,COP,CVX,EOG,EPD,MPC,OXY,PSX,PXD,SLB,XOM,SP500
2011-10-17,34.02080535888672,59.57229995727539,30.914024353027344,9.760965347290039,12.030251502990723,53.88945388793945,,57.155494689941406,49.54681396484375,47.11497497558594,1200.8599853515625
2011-10-18,34.45389938354492,62.19416809082031,32.66459655761719,9.925244331359863,12.460638046264648,55.38854217529297,,61.2220573425293,51.300628662109375,47.97856140136719,1225.3800048828125
2011-10-19,34.628135681152344,61.765262603759766,33.367103576660156,9.982287406921387,12.257493019104004,54.717193603515625,,61.477142333984375,49.825653076171875,47.698814392089844,1209.8800048828125
2011-10-20,34.981590270996094,62.46000671386719,33.16583251953125,10.03020191192627,12.56392765045166,55.134334564208984,,61.91780471801758,49.89169692993164,47.869102478027344,1215.3900146484375
2011-10-21,35.7581787109375,63.7528076171875,34.411354064941406,10.039329528808594,12.86003589630127,56.53569030761719,,63.41765213012695,49.444091796875,48.73271560668945,1238.25
2011-10-24,35.90255355834961,64.19986724853516,34.58604431152344,10.073551177978516,12.3435697555542,56.907196044921875,,65.45862579345703,51.27859115600586,48.75701904296875,1254.18994140625
2011-10-25,35.185691833496094,63.13058090209961,33.23419952392578,10.160252571105957,11.35195255279541,55.492820739746094,,64.02839660644531,49.921051025390625,48.31306457519531,1229.050048828125
2011-10-26,35.788055419921875,64.50191497802734,33.19622039794922,10.349634170532227,11.957944869995117,56.835487365722656,,64.90972137451172,51.24925231933594,49.30437469482422,1242.0
2011-10-27,36.26594924926758,65.83099365234375,35.254371643066406,10.396588325500488,12.853153228759766,62.34956741333008,,68.04078674316406,55.600746154785156,49.7969970703125,1284.5899658203125
2011-10-28,35.71337890625,66.23575592041016,36.1429557800293,10.38502025604248,12.849706649780273,63.72482681274414,,68.41185760498047,55.740177154541016,49.553733825683594,1285.0899658203125
2011-10-31,34.672943115234375,63.46283721923828,33.95948028564453,10.368830680847168,12.360784530639648,60.57673645019531,,64.86333465576172,53.91298294067383,47.492042541503906,1253.300048828125
2011-11-01,33.81172180175781,61.6685905456543,32.61143493652344,10.160667419433594,12.395219802856445,59.01895523071289,,62.59817886352539,52.19587326049805,46.18446731567383,1218.280029296875
2011-11-02,34.399139404296875,63.154747009277344,36.469520568847656,10.213861465454102,13.197464942932129,60.73967742919922,,70.47608184814453,53.37729263305664,47.05414962768555,1237.9000244140625
2011-11-03,35.09608459472656,64.11526489257812,37.984657287597656,10.331827163696289,13.314529418945312,62.056278228759766,,72.78763580322266,55.71815490722656,47.960330963134766,1261.1500244140625
